#{"t_start": 1762026536.480345, "env_id": "None"}
r,l,t
41.7,340,398.802973
36.5,340,399.029768
38.4,414,399.280326
38.9,414,399.534068
24.7,340,403.127017
30.8,414,403.412407
112.4,2700,404.334446
25.0,340,404.56453
20.6,2026,405.279274
10.8,414,405.559318
25.4,414,405.894301
22.0,414,406.174763
36.7,340,406.468315
42.0,340,406.751474
32.5,340,407.025163
13.0,340,410.4813
27.7,414,410.845272
33.3,414,411.123598
42.0,414,411.399933
28.0,340,411.671819
11.4,340,411.922027
23.9,340,412.181822
30.1,340,412.461304
15.807143,438,412.7411
27.8,414,412.999957
16.1,414,413.288568
42.0,340,413.530823
42.0,340,413.760268
42.0,340,413.99031
42.0,340,414.218647
21.157143,415,414.467173
41.0,340,414.700314
20.5,340,414.95
16.2,340,415.212003
40.4,414,415.506959
-29.95,1429,419.572815
13.3,340,419.820389
42.0,340,420.054202
37.4,414,420.327985
41.5,340,420.593746
20.1,340,420.840995
42.0,340,421.067409
28.0,340,421.31572
30.542857,427,421.613024
26.9,340,421.861685
45.292857,446,422.145954
42.0,340,422.413804
26.585714,457,422.730669
31.5,340,422.991364
39.464286,2132,423.772307
15.7,414,424.03953
30.0,414,427.522307
28.7,414,427.810676
38.9,340,428.037521
39.5,340,428.263655
24.0,414,428.53231
30.9,414,428.811426
27.3,340,429.048208
16.8,340,429.299328
25.7,414,429.597927
25.6,340,429.863178
-7.65,1107,430.333956
41.2,340,430.562809
15.7,414,430.833767
-18.05,829,431.227898
25.035714,445,431.512394
38.792857,448,431.794259
29.1,340,432.03839
-10.25,935,435.696451
25.0,414,435.977918
22.6,340,436.230862
33.5,340,436.476333
30.1,414,436.728127
26.5,414,436.979764
5.3,414,437.231038
42.0,340,437.461347
23.35,2099,438.192141
35.7,340,438.438538
21.2,414,438.72937
-7.3,942,439.137446
28.7,1586,442.772128
28.8,340,443.055226
31.0,340,443.334362
34.6,340,443.595002
42.0,340,443.82733
14.4,414,444.097893
40.1,340,444.345058
25.714286,423,444.619075
31.9,340,444.859108
22.8,414,445.134332
42.0,340,445.401478
23.9,414,445.679862
16.7,414,445.960224
42.0,340,446.226298
42.0,340,446.480251
42.0,340,446.709763
37.664286,423,446.98561
110.271429,2700,451.178841
42.0,340,451.4394
42.0,340,451.696319
42.0,340,451.926579
13.4,414,452.205302
27.971429,2270,453.0155
38.9,340,453.258896
35.5,340,453.522939
41.3,340,453.795239
20.5,414,454.095203
-4.05,1557,454.7054
42.0,340,454.951711
32.7,414,458.420159
28.957143,427,458.721309
1.4,1104,459.179915
17.4,340,459.408839
40.0,340,459.667084
21.0,414,459.964842
21.8,414,460.235591
29.4,414,460.511832
42.0,340,460.775368
42.0,340,461.024023
41.6,414,461.30255
42.0,414,461.592737
42.0,340,461.848113
-30.25,833,462.22058
39.2,340,462.474768
37.742857,445,462.778486
25.3,340,463.021152
31.5,414,463.297498
33.1,414,466.904165
28.4,414,467.193258
38.6,340,467.447186
18.5,1506,468.050844
-12.15,837,468.433263
42.0,340,468.687123
42.6,414,468.95894
